FECHA_CORTE,CODIGO_OSINERGMIN,G_PREMIUM,G_REGULAR,DIESEL,GNV,GLP_G,GLP_E
2026-02-11,EST_SERV_001,17.20,15.49,14.80,2.15,7.90,38.50
2026-02-11,EST_SERV_002,17.30,15.55,14.85,2.18,7.95,38.60
2026-02-11,EST_SERV_003,17.10,15.40,14.75,2.10,7.85,38.40
2026-02-11,EST_SERV_004,17.25,15.50,14.82,2.12,7.88,38.55
2026-02-11,EST_SERV_005,17.15,15.45,14.78,2.14,7.92,38.48
2026-02-10,EST_SERV_001,17.20,15.49,14.80,2.15,7.90,38.50
2026-02-10,EST_SERV_002,17.30,15.55,14.85,2.18,7.95,38.60
2026-02-10,EST_SERV_003,17.10,15.40,14.75,2.10,7.85,38.40
2026-02-10,EST_SERV_004,17.25,15.50,14.82,2.12,7.88,38.55
2026-02-10,EST_SERV_005,17.15,15.45,14.78,2.14,7.92,38.48
