FECHA_CORTE,CODIGO_OSINERGMIN,G_PREMIUM,G_REGULAR,DIESEL,GNV,GLP_G,GLP_E
2026-02-11,EST_SERV_001,19.80,17.90,16.50,nan,nan,nan
2026-02-11,EST_SERV_002,22.50,20.80,18.90,nan,nan,nan
2026-02-11,EST_SERV_003,15.60,15.60,14.90,2.10,8.10,39.00
2026-02-11,EST_SERV_004,21.00,19.50,17.80,nan,nan,nan
2026-02-11,EST_SERV_005,23.00,21.50,19.20,nan,nan,nan
2026-02-10,EST_SERV_001,19.50,17.60,16.30,nan,nan,nan
2026-02-10,EST_SERV_002,22.00,20.50,18.60,nan,nan,nan
2026-02-10,EST_SERV_003,15.60,15.60,14.90,2.10,8.10,39.00
2026-02-10,EST_SERV_004,20.80,19.20,17.50,nan,nan,nan
2026-02-10,EST_SERV_005,22.80,21.30,19.00,nan,nan,nan
2026-02-09,EST_SERV_001,19.20,17.30,16.10,nan,nan,nan
2026-02-09,EST_SERV_002,21.80,20.20,18.40,nan,nan,nan
2026-02-09,EST_SERV_003,15.50,15.50,14.80,2.10,8.10,39.00
2026-02-09,EST_SERV_004,20.50,19.00,17.20,nan,nan,nan
2026-02-09,EST_SERV_005,22.50,21.00,18.80,nan,nan,nan
